Geography,Date,Value
Quebec,9/1/2003,"3,169,484"
Ontario,9/1/2003,"5,233,974"
Manitoba,9/1/2003,"516,647"
Saskatchewan,9/1/2003,"384,095"
Alberta,9/1/2003,"1,482,842"
British Columbia,9/1/2003,"1,650,354"
Yukon,9/1/2003,"15,478"
Northwest Territories,9/1/2003,"23,590"
Nunavut,9/1/2003,"12,489"
Canada,10/1/2003,"13,471,269"
Newfoundland and Labrador,10/1/2003,"182,734"
Prince Edward Island,10/1/2003,"59,221"
Nova Scotia,10/1/2003,"383,858"
New Brunswick,10/1/2003,"308,843"
Quebec,10/1/2003,"3,171,740"
Ontario,10/1/2003,"5,258,599"
Manitoba,10/1/2003,"517,281"
Saskatchewan,10/1/2003,"385,872"
Alberta,10/1/2003,"1,493,150"
British Columbia,10/1/2003,"1,657,989"
Yukon,10/1/2003,"15,467"
Northwest Territories,10/1/2003,"24,131"
Nunavut,10/1/2003,"12,384"
Canada,11/1/2003,"13,477,826"
Newfoundland and Labrador,11/1/2003,"179,998"
Prince Edward Island,11/1/2003,"58,550"
Nova Scotia,11/1/2003,"383,910"
New Brunswick,11/1/2003,"305,294"
Quebec,11/1/2003,"3,180,871"
Ontario,11/1/2003,"5,258,621"
Manitoba,11/1/2003,"514,522"
Saskatchewan,11/1/2003,"385,971"
Alberta,11/1/2003,"1,492,473"
British Columbia,11/1/2003,"1,666,067"
Yukon,11/1/2003,"15,200"
Northwest Territories,11/1/2003,"24,048"
Nunavut,11/1/2003,"12,302"
Canada,12/1/2003,"13,480,100"
Newfoundland and Labrador,12/1/2003,"182,299"
Prince Edward Island,12/1/2003,"57,522"
Nova Scotia,12/1/2003,"385,116"
New Brunswick,12/1/2003,"304,883"
Quebec,12/1/2003,"3,183,003"
Ontario,12/1/2003,"5,252,097"
Manitoba,12/1/2003,"511,708"
Saskatchewan,12/1/2003,"387,755"
Alberta,12/1/2003,"1,490,772"
British Columbia,12/1/2003,"1,672,838"
Yukon,12/1/2003,"15,335"
Northwest Territories,12/1/2003,"24,376"
Nunavut,12/1/2003,"12,397"
Canada,1/1/2004,"13,538,626"
Newfoundland and Labrador,1/1/2004,"181,694"
Prince Edward Island,1/1/2004,"59,240"
Nova Scotia,1/1/2004,"386,823"
New Brunswick,1/1/2004,"306,692"
Quebec,1/1/2004,"3,206,402"
Ontario,1/1/2004,"5,269,839"
Manitoba,1/1/2004,"517,413"
Saskatchewan,1/1/2004,"387,977"
Alberta,1/1/2004,"1,497,359"
British Columbia,1/1/2004,"1,672,909"
Yukon,1/1/2004,"15,460"
Northwest Territories,1/1/2004,"24,341"
Nunavut,1/1/2004,"12,477"
Canada,2/1/2004,"13,496,531"
Newfoundland and Labrador,2/1/2004,"180,916"
Prince Edward Island,2/1/2004,"59,076"
Nova Scotia,2/1/2004,"384,610"
New Brunswick,2/1/2004,"303,759"
Quebec,2/1/2004,"3,184,608"
Ontario,2/1/2004,"5,263,932"
Manitoba,2/1/2004,"513,223"
Saskatchewan,2/1/2004,"385,210"
Alberta,2/1/2004,"1,495,920"
British Columbia,2/1/2004,"1,673,385"
Yukon,2/1/2004,"15,523"
Northwest Territories,2/1/2004,"23,737"
Nunavut,2/1/2004,"12,632"
Canada,3/1/2004,"13,557,693"
Newfoundland and Labrador,3/1/2004,"181,512"
Prince Edward Island,3/1/2004,"59,507"
Nova Scotia,3/1/2004,"387,153"
New Brunswick,3/1/2004,"305,443"
Quebec,3/1/2004,"3,186,363"
Ontario,3/1/2004,"5,299,194"
Manitoba,3/1/2004,"515,707"
Saskatchewan,3/1/2004,"387,500"
Alberta,3/1/2004,"1,506,776"
British Columbia,3/1/2004,"1,676,564"
Yukon,3/1/2004,"15,801"
Northwest Territories,3/1/2004,"23,653"
Nunavut,3/1/2004,"12,520"
Canada,4/1/2004,"13,610,569"
Newfoundland and Labrador,4/1/2004,"179,627"
Prince Edward Island,4/1/2004,"59,311"
Nova Scotia,4/1/2004,"387,235"
New Brunswick,4/1/2004,"305,543"
Quebec,4/1/2004,"3,192,405"
Ontario,4/1/2004,"5,324,381"
Manitoba,4/1/2004,"514,709"
Saskatchewan,4/1/2004,"389,967"
Alberta,4/1/2004,"1,514,995"
British Columbia,4/1/2004,"1,689,723"
Yukon,4/1/2004,"15,789"
Northwest Territories,4/1/2004,"24,448"
Nunavut,4/1/2004,"12,435"
Canada,5/1/2004,"13,636,867"
Newfoundland and Labrador,5/1/2004,"179,201"
Prince Edward Island,5/1/2004,"60,663"
Nova Scotia,5/1/2004,"389,455"
New Brunswick,5/1/2004,"307,709"
Quebec,5/1/2004,"3,222,295"
Ontario,5/1/2004,"5,311,053"
Manitoba,5/1/2004,"513,174"
Saskatchewan,5/1/2004,"389,207"
Alberta,5/1/2004,"1,520,465"
British Columbia,5/1/2004,"1,690,357"
Yukon,5/1/2004,"16,129"
Northwest Territories,5/1/2004,"24,459"
Nunavut,5/1/2004,"12,701"
Canada,6/1/2004,"13,653,942"
Newfoundland and Labrador,6/1/2004,"180,717"
Prince Edward Island,6/1/2004,"60,343"
Nova Scotia,6/1/2004,"387,353"
New Brunswick,6/1/2004,"306,557"
Quebec,6/1/2004,"3,214,821"
Ontario,6/1/2004,"5,326,388"
Manitoba,6/1/2004,"515,645"
Saskatchewan,6/1/2004,"390,915"
Alberta,6/1/2004,"1,523,500"
British Columbia,6/1/2004,"1,694,534"
Yukon,6/1/2004,"16,009"
Northwest Territories,6/1/2004,"24,471"
Nunavut,6/1/2004,"12,688"
Canada,7/1/2004,"13,700,178"
Newfoundland and Labrador,7/1/2004,"179,024"
Prince Edward Island,7/1/2004,"62,366"
Nova Scotia,7/1/2004,"385,828"
New Brunswick,7/1/2004,"307,463"
Quebec,7/1/2004,"3,232,583"
Ontario,7/1/2004,"5,341,789"
Manitoba,7/1/2004,"519,541"
Saskatchewan,7/1/2004,"393,363"
Alberta,7/1/2004,"1,529,349"
British Columbia,7/1/2004,"1,695,725"
Yukon,7/1/2004,"15,786"
Northwest Territories,7/1/2004,"24,669"
Nunavut,7/1/2004,"12,693"
Canada,8/1/2004,"13,643,482"
Newfoundland and Labrador,8/1/2004,"179,552"
Prince Edward Island,8/1/2004,"60,585"
Nova Scotia,8/1/2004,"386,627"
New Brunswick,8/1/2004,"302,942"
Quebec,8/1/2004,"3,211,432"
Ontario,8/1/2004,"5,305,021"
Manitoba,8/1/2004,"516,418"
Saskatchewan,8/1/2004,"393,644"
Alberta,8/1/2004,"1,535,330"
British Columbia,8/1/2004,"1,699,510"
Yukon,8/1/2004,"15,661"
Northwest Territories,8/1/2004,"24,083"
Nunavut,8/1/2004,"12,679"
Canada,9/1/2004,"13,708,379"
Newfoundland and Labrador,9/1/2004,"180,382"
Prince Edward Island,9/1/2004,"60,060"
Nova Scotia,9/1/2004,"385,404"
New Brunswick,9/1/2004,"301,346"
Quebec,9/1/2004,"3,225,417"
Ontario,9/1/2004,"5,335,725"
Manitoba,9/1/2004,"516,231"
Saskatchewan,9/1/2004,"395,151"
Alberta,9/1/2004,"1,545,758"
British Columbia,9/1/2004,"1,710,122"
